Date,"Ukraine, WHOLESALE, National Average, Wheat (flour, highest grade, offer, EXW), UAH/Kg","Ukraine, WHOLESALE, National Average, Wheat (flour, first grade, offer, EXW), UAH/Kg","Ukraine, WHOLESALE, National Average, Wheat (3rd class, bid, EXW, processing), UAH/Kg","Ukraine, WHOLESALE, National Average, Wheat (flour, highest grade, offer, EXW), USD/Kg","Ukraine, WHOLESALE, National Average, Wheat (flour, first grade, offer, EXW), USD/Kg","Ukraine, WHOLESALE, National Average, Wheat (3rd class, bid, EXW, processing), USD/Kg","Ukraine, WHOLESALE, National Average, Wheat (flour, highest grade, offer, EXW), UAH-real/Kg","Ukraine, WHOLESALE, National Average, Wheat (flour, first grade, offer, EXW), UAH-real/Kg","Ukraine, WHOLESALE, National Average, Wheat (3rd class, bid, EXW, processing), UAH-real/Kg"
2009-06-01,1.9825,1.78,0.9975,0.26032,0.23373,0.1309799999999999,2.15629,1.93603,1.08494
2009-07-01,2.006,1.819,0.922,0.26229,0.23784,0.1205499999999999,2.18431,1.98069,1.00396
2009-08-01,1.9573,1.7538,0.9175,0.25072,0.22466,0.11753,2.13611,1.91402,1.00132
2009-09-01,1.8875,1.6975,0.8837999999999999,0.2359699999999999,0.21221,0.1104899999999999,2.04144,1.83594,0.95588
2009-10-01,1.843,1.668,0.938,0.23037,0.2085,0.11725,1.97557,1.78798,1.00547
2009-11-01,1.9388,1.6975,1.1,0.24252,0.21234,0.1376,2.05766,1.80157,1.16744
2009-12-01,2.026,1.7338,1.1575,0.25395,0.21733,0.14509,2.1291,1.82203,1.21641
2010-01-01,2.085,1.764,1.177,0.26072,0.22058,0.14718,2.1535300000000004,1.82198,1.2156900000000002
2010-02-01,2.15,1.865,1.1975,0.26874,0.23312,0.14968,2.17864,1.88984,1.21345
2010-03-01,2.1938,1.9125,1.2063,0.27536,0.24005,0.15141,2.20448,1.92181,1.21217
2010-04-01,2.166,1.896,1.182,0.27329,0.23922,0.1491299999999999,2.18109,1.90921,1.19023
2010-05-01,2.1075,1.8475,1.1738,0.26591,0.2331,0.1480999999999999,2.13557,1.87211,1.18943
2010-06-01,2.0975,1.8513,1.1625,0.26498,0.23388,0.14686,2.13441,1.88388,1.18296
2010-07-01,2.128,1.899,1.182,0.26931,0.24033,0.14959,2.17003,1.93651,1.20535
2010-08-01,2.5075,2.2075,1.3675,0.3178,0.2797699999999999,0.17331,2.52761,2.2252,1.37847
2010-09-01,2.5525,2.27,1.425,0.32268,0.28697,0.18014,2.49976,2.22309,1.3955499999999998
2010-10-01,2.604,2.352,1.597,0.32918,0.29733,0.20188,2.5373,2.29175,1.55609
2010-11-01,2.6113000000000004,2.3638000000000003,1.6113,0.3293899999999999,0.29817,0.20325,2.53672,2.29629,1.56528
2010-12-01,2.603,2.36,1.621,0.32719,0.2966399999999999,0.20375,2.50842,2.27425,1.5620999999999998
2011-01-01,2.6163000000000003,2.39,1.6313,0.32911,0.3006399999999999,0.2052,2.49628,2.28036,1.55646
2011-02-01,2.8625,2.6125,1.82,0.36048,0.329,0.2292,2.70706,2.47064,1.72117
2011-03-01,3.1325,2.775,1.9813,0.39432,0.34932,0.24941,2.92225,2.58875,1.84832
2011-04-01,3.126,2.766,1.973,0.39247,0.3472699999999999,0.24771,2.87719,2.54585,1.81596
2011-05-01,3.1013,2.7588000000000004,1.96,0.3888999999999999,0.34595,0.24578,2.83281,2.51997,1.79032
2011-06-01,3.0825,2.78,1.9675,0.38661,0.34867,0.2467599999999999,2.80501,2.52974,1.79038
2011-07-01,3.062,2.836,1.71,0.3841299999999999,0.35578,0.21452,2.82098,2.61277,1.5754
2011-08-01,2.9813,2.7575,1.567,0.37401,0.34594,0.19658,2.75983,2.5526500000000003,1.4505899999999998
2011-09-01,2.867,2.667,1.597,0.3596,0.33451,0.20031,2.65147,2.4665100000000004,1.47694
2011-10-01,2.7975,2.6175,1.555,0.3508,0.32823,0.19499,2.5872,2.42073,1.4381
2011-11-01,2.71625,2.56875,1.55625,0.34022,0.32174,0.1949199999999999,2.50724,2.37109,1.4365
2011-12-01,2.69,2.547,1.567,0.33668,0.3187799999999999,0.19613,2.47826,2.34652,1.4436600000000002
2012-01-01,2.685,2.545,1.5838,0.33605,0.31853,0.19823,2.46894,2.3402,1.4563499999999998
2012-02-01,2.755,2.6013,1.6525,0.34487,0.32563,0.20686,2.52848,2.38742,1.51663
2012-03-01,2.829,2.644,1.709,0.35423,0.33107,0.21399,2.589,2.41969,1.56401
2012-04-01,2.845,2.645,1.7113,0.35622,0.33117,0.21427,2.60364,2.42061,1.56612
2012-05-01,2.8338,2.6338000000000004,1.6713,0.35463,0.3296,0.20915,2.6008,2.41724,1.53388
2012-06-01,2.792,2.592,1.632,0.34933,0.3243,0.20419,2.56978,2.3857,1.5021099999999998
2012-07-01,2.8075,2.605,1.7,0.35125,0.32592,0.21269,2.58899,2.40225,1.56769
2012-08-01,2.948,2.732,1.834,0.36882,0.3418,0.22945,2.729,2.52905,1.69776
2012-09-01,3.015,2.77625,1.90875,0.37721,0.34734,0.2388,2.7883400000000003,2.56754,1.76526
2012-10-01,3.0538000000000003,2.8025,1.9875,0.38206,0.35062,0.24866,2.82423,2.59182,1.83809
2012-11-01,3.1,2.841,2.044,0.3878399999999999,0.35544,0.25572,2.86971,2.62995,1.89216
2012-12-01,3.155,2.8813,2.0888,0.39472,0.36048,0.26133,2.91502,2.66214,1.92992
2013-01-01,3.21,2.9425,2.13,0.4016,0.36813,0.26648,2.95733,2.71089,1.96234
2013-02-01,3.3,3.07,2.17125,0.41286,0.38409,0.27164,3.04316,2.83106,2.00226
2013-03-01,3.33,3.114,2.171,0.41661,0.38959,0.27161,3.0708200000000003,2.87163,2.00203
2013-04-01,3.3075,3.0838,2.1375,0.4138,0.38581,0.26742,3.0500700000000003,2.84378,1.97114
2013-05-01,3.302,3.064,2.142,0.41311,0.3833399999999999,0.26798,3.04209,2.82282,1.9734
2013-06-01,3.295,3.0325,2.19,0.41224,0.37939,0.27399,3.03564,2.7938,2.01762
2013-07-01,3.215,2.9925,1.6775,0.40223,0.37439,0.20987,2.96477,2.75959,1.54694
2013-08-01,2.898,2.79,1.49,0.36257,0.34906,0.18641,2.69306,2.5927,1.38463
2013-09-01,2.65,2.545,1.48,0.33154,0.3183999999999999,0.18516,2.4626,2.3650300000000004,1.37534
2013-10-01,2.585,2.4525,1.5263,0.32341,0.30683,0.1909499999999999,2.39297,2.27031,1.41291
2013-11-01,2.72,2.62,1.626,0.3403,0.32779,0.20343,2.51311,2.42072,1.50232
2013-12-01,2.805,2.695,1.7025,0.35093,0.33717,0.213,2.57682,2.47577,1.56401
2014-01-01,2.838,2.73,1.722,0.35506,0.34155,0.21544,2.60218,2.50315,1.57891
2014-02-01,2.87,2.7725,1.815,0.33163,0.32036,0.20972,2.61658,2.52769,1.65474
2014-03-01,3.0025,2.825,1.97,0.30267,0.28478,0.19859,2.67908,2.5207,1.7578
2014-04-01,3.27,2.97,2.3625,0.28107,0.25528,0.20307,2.82365,2.5646,2.04002
2014-05-01,3.874,3.292,2.512,0.3328899999999999,0.28288,0.21585,3.22387,2.73954,2.09044
2014-06-01,3.85,3.2975,2.4675,0.32603,0.27924,0.20896,3.17104,2.71598,2.03235
2014-07-01,3.7875,3.45,2.1,0.32222,0.29351,0.1786599999999999,3.10629,2.82949,1.7223
2014-08-01,3.686,3.426,2.17,0.28463,0.26455,0.16757,3.00006,2.78845,1.76618
2014-09-01,3.7675,3.5125,2.3575,0.28929,0.26971,0.18102,2.9808000000000003,2.77905,1.86523
2014-10-01,3.88,3.606,2.37,0.29962,0.27846,0.1830099999999999,2.99601,2.78444,1.83004
2014-11-01,3.88,3.6375,2.53,0.26399,0.24749,0.17214,2.9418,2.75794,1.91823
2014-12-01,4.05,3.85,2.875,0.2593399999999999,0.2465399999999999,0.1840999999999999,2.9815500000000004,2.83431,2.11653
2015-01-01,4.53,4.35,3.14,0.28648,0.27509,0.19857,3.23364,3.10515,2.24142
2015-02-01,6.15,5.95,3.925,0.25123,0.24306,0.16034,4.16776,4.03222,2.65991
2015-03-01,7.4,7.1,3.9,0.31819,0.30529,0.1677,4.527699999999999,4.34415,2.38622
2015-04-01,6.22,6.0,3.6,0.2738899999999999,0.26421,0.15852,3.3374200000000003,3.21938,1.93163
2015-05-01,5.675,5.575,3.5375,0.2713299999999999,0.26655,0.16913,2.98028,2.92776,1.85775
2015-06-01,5.15,5.0,3.1875,0.24255,0.23548,0.15012,2.69283,2.6144000000000003,1.6666800000000002
2015-07-01,5.0,4.87,3.226,0.22981,0.22383,0.14827,2.64163,2.57295,1.70438
2015-08-01,5.0875,4.9375,3.3,0.23524,0.2283,0.15259,2.71015,2.63024,1.75793
2015-09-01,4.9125,4.8125,3.1,0.22552,0.2209199999999999,0.14231,2.55754,2.50548,1.61392
2015-10-01,4.95,4.81,3.16,0.22663,0.22022,0.14468,2.61092,2.53708,1.66677
2015-11-01,5.375,5.2,3.6,0.23056,0.22306,0.1544199999999999,2.77881,2.68834,1.86116
2015-12-01,5.7,5.5,3.7125,0.2435,0.23496,0.1586,2.92643,2.82374,1.90603
2016-01-01,5.7,5.5,3.75,0.23495,0.22671,0.15458,2.90016,2.7984,1.908
2016-02-01,5.8,5.6,3.9375,0.21978,0.2122,0.1492,2.96356,2.8613600000000003,2.0119
2016-03-01,5.8,5.6,4.0875,0.22003,0.21244,0.15506,2.934,2.83283,2.06771
2016-04-01,5.66,5.46,3.95,0.22083,0.21303,0.15412,2.7673,2.66952,1.93124
2016-05-01,5.625,5.425,4.05,0.22313,0.21519,0.16065,2.7474000000000003,2.64972,1.97813
2016-06-01,5.7,5.5,4.1,0.22846,0.22044,0.16433,2.78969,2.69181,2.00662
2016-07-01,5.7,5.48,3.86,0.22965,0.22079,0.15552,2.79111,2.68338,1.89012
2016-08-01,5.8,5.5,3.775,0.23144,0.21947,0.15064,2.8487600000000004,2.70141,1.85415
2016-09-01,5.9,5.66,3.95,0.22451,0.21537,0.1503,2.84709,2.73127,1.9061
2016-10-01,5.9,5.7,4.05,0.22904,0.22127,0.15722,2.76943,2.6755500000000003,1.90105
2016-11-01,5.96667,5.7,4.18333,0.23217,0.22179,0.16278,2.75114,2.62818,1.92887
2016-12-01,6.03,5.67,4.32,0.23015,0.21641,0.1648899999999999,2.75529,2.5908,1.97394
2017-01-01,6.125,5.7375,4.525,0.2256,0.21133,0.1666699999999999,2.76851,2.59336,2.04531
2017-02-01,6.325,5.875,4.7125,0.234,0.21735,0.17434,2.83102,2.62961,2.10928
2017-03-01,6.52,5.96,4.82,0.24148,0.22074,0.17852,2.86638,2.62019,2.1190100000000003
2017-04-01,6.6125,5.95,4.8125,0.24618,0.22152,0.17917,2.8807600000000004,2.59214,2.09658
2017-05-01,6.625,6.1,4.725,0.25076,0.2308899999999999,0.17884,2.85013,2.62427,2.03273
2017-06-01,6.56,6.1,4.58,0.25124,0.23363,0.17541,2.77753,2.5827600000000004,1.93919
2017-07-01,6.5,6.1375,4.65,0.25029,0.23633,0.17905,2.74609,2.59294,1.96451
2017-08-01,6.525,6.1875,4.7125,0.25449,0.24132,0.1837899999999999,2.7602800000000003,2.61751,1.99354
2017-09-01,6.61,6.31,4.61,0.25316,0.24167,0.17656,2.74089,2.6165,1.91158
2017-10-01,6.8125,6.5,4.8375,0.2556299999999999,0.2439,0.18152,2.79123,2.66319,1.98203
2017-11-01,6.875,6.575,4.9875,0.25744,0.24621,0.1867599999999999,2.79191,2.67008,2.02541
2017-12-01,6.99,6.72,5.1,0.25403,0.24422,0.18534,2.81019,2.70164,2.05035
2018-01-01,7.05,6.7875,5.175,0.24794,0.23871,0.182,2.79238,2.6884,2.04972
2018-02-01,7.15,6.9,5.2375,0.26315,0.25395,0.19276,2.80661,2.70847,2.05589
2018-03-01,7.36,7.02,5.34,0.27941,0.2665,0.20272,2.85761,2.7256,2.0733200000000003
2018-04-01,7.45,7.1,5.35,0.28488,0.27149,0.20458,2.86943,2.73463,2.0606
2018-05-01,7.45,7.1375,5.4,0.28456,0.27262,0.20625,2.86947,2.7491,2.07988
2018-06-01,7.38,7.11,5.34,0.28166,0.27135,0.2038,2.8425100000000003,2.73851,2.05677
2018-07-01,7.3125,7.1,5.225,0.27698,0.26893,0.19791,2.83683,2.75439,2.027
2018-08-01,7.68,7.38,5.81,0.27945,0.26854,0.21141,2.9794,2.86302,2.25395
2018-09-01,8.075,7.8,5.9375,0.28644,0.27668,0.21061,3.07452,2.96981,2.26068
2018-10-01,8.2375,7.86667,6.0125,0.29286,0.27968,0.2137599999999999,3.084,2.94516,2.25099
2018-11-01,8.38,7.92,6.05,0.3,0.2835299999999999,0.21659,3.0940700000000003,2.92423,2.23379
2018-12-01,8.525,8.0375,6.0875,0.30677,0.28923,0.21906,3.12249,2.94393,2.22969
2019-01-01,8.5625,8.15,6.1375,0.30713,0.29233,0.22015,3.1055300000000003,2.95592,2.22601
2019-02-01,8.725,8.3625,6.2,0.32124,0.30789,0.22827,3.14788,3.0171,2.23689
2019-03-01,8.85,8.48,6.03,0.32944,0.31567,0.22447,3.16455,3.03224,2.15618
2019-04-01,8.8375,8.45,5.85,0.32962,0.31516,0.21819,3.12873,2.99154,2.07107
2019-05-01,8.78,8.326,5.64,0.3328399999999999,0.31563,0.21381,3.08683,2.92721,1.98288
2019-06-01,8.725,8.1775,5.4,0.32924,0.3085799999999999,0.20377,3.08324,2.8897600000000003,1.90825
2019-07-01,8.52,8.0975,5.4,0.33086,0.31445,0.2097,3.02857,2.87838,1.91951
2019-08-01,8.3206,8.0256,4.59,0.32957,0.31788,0.1818,2.96644,2.86127,1.63642
2019-09-01,8.0125,7.78575,4.3375,0.32348,0.31433,0.17511,2.83666,2.75638,1.5356
2019-10-01,7.692,7.492,4.47,0.31006,0.302,0.18018,2.70431,2.634,1.57154
2019-11-01,7.8125,7.6125,4.7425,0.32061,0.3123999999999999,0.19462,2.74468,2.67441,1.66613
2019-12-01,7.7,7.5,4.9,0.32614,0.31767,0.20754,2.71009,2.6397,1.7246
2020-01-01,8.1,7.8,5.2,0.33582,0.32338,0.21559,2.84568,2.7402800000000003,1.82686
2020-02-01,8.55,8.15,5.3375,0.34756,0.3313,0.21697,3.01256,2.87162,1.88065
2020-03-01,8.5,8.075,5.425,0.32185,0.30576,0.20541,2.97104,2.82249,1.89622
2020-04-01,8.9125,8.4125,6.03333,0.32742,0.30906,0.22165,3.09056,2.91718,2.09216
2020-05-01,8.68,8.23,6.02,0.32376,0.30698,0.22454,3.0013,2.8457,2.08155
2020-06-01,8.55,8.15,6.0,0.3201,0.30513,0.22463,2.95,2.81199,2.07018
2020-07-01,8.29,7.99,5.85,0.30355,0.29257,0.21421,2.87781,2.77367,2.03078
2020-08-01,8.15,7.85,5.8625,0.2961499999999999,0.28525,0.21303,2.83431,2.72998,2.03879
2020-09-01,8.475,8.175,6.5875,0.30289,0.29217,0.23544,2.93358,2.82973,2.28023
2020-10-01,9.81,9.42,7.42,0.3464,0.33263,0.2620099999999999,3.36187,3.22821,2.5428200000000003
2020-11-01,10.625,10.325,7.8,0.37531,0.36471,0.27552,3.59388,3.4924,2.63833
2020-12-01,10.475,10.175,7.7,0.37185,0.3611999999999999,0.2733399999999999,3.5111,3.41054,2.58095
2021-01-01,11.07,10.8,8.45,0.3922799999999999,0.38271,0.29944,3.66339,3.57404,2.79635
